Item Code,Units in System,Demand
10795,42,44
1133,0,48
1579,0,668
1991487,0,1
2053,0,535
2190,0,1
2199,0,21
2220114,0,314
3561,232,298
526,71,82
7018,0,13
7230264,0,1000
7230455,0,200
7471,6,12
AL1S,58,150
ALT3,104,146
LB10904,0,7
SR0241608,686,706
SR100124,0,2
SR100126,0,2
SR100785,0,2
SR100852,0,1
SR100854,0,6
SR101,0,165
SR109,0,435
SR11,0,20144
SR111,0,2494
SR112,0,1649
SR113,0,3542
SR115,0,6728
SR119,0,735
SR12,0,23030
SR122,0,270
SR123,0,858
SR124,0,903
SR125,0,53
SR126,0,15
SR127,0,148
SR128,0,14
SR130,0,7395
SR131,0,751
SR136,0,548
SR137,0,20
SR139,0,206
SR14,0,35357
SR140,0,178
SR141,0,49
SR144,0,382
SR15,0,44455
SR16,0,38855
SR1606,0,622
SR163,0,1017
SR17,0,11291
SR174,0,36
SR176,0,4
SR18,0,42
SR189,0,121
SR19,0,735
SR190,0,40
SR191,0,107
SR192,0,88
SR194,0,9
SR195,0,400
SR201,0,8
SR203,0,90
SR207,0,2
SR208,0,30
SR2083,0,194
SR209,0,68
SR2091,0,5
SR21,0,834
SR211,0,1
SR215,0,4561
SR216,0,2130
SR2183,0,737
SR2184,0,39
SR2185,0,762
SR2186,0,1650
SR2187,0,555
SR2189,0,3371
SR2194,0,1726
SR2196,0,32
SR2197,0,0
SR2200,0,5844
SR2202,0,12
SR2203,0,2360
SR2205,0,164
SR2207,0,3
SR2209,0,952
SR2212,0,1081
SR2213,0,636
SR2214,0,663
SR222,0,140
SR225006,0,4
SR225011,4,10
SR2250114,0,2
SR225013,2,4
SR225016,0,1
SR225017,0,2
SR225018,0,2
SR225023,0,2
SR225042,1,3
SR225062,0,2
SR225063,0,2
SR225065,0,4
SR228,0,777
SR23,0,20
SR231,0,749
SR234,0,290
SR238,0,3389
SR239,0,60207
SR245,0,321
SR25,0,6
SR257,0,5662
SR258,0,12239
SR259,0,9806
SR261,0,8410
SR263,0,3883
SR265,0,45227
SR267,0,70
SR268,0,6
SR27,0,72
SR271,0,17
SR282,0,728
SR29,0,88
SR290,0,4
SR293,0,4
SR30,0,255
SR304,0,75
SR308,0,4
SR318,0,21
SR327,0,475
SR3350,0,5
SR337,0,3148
SR338,0,530
SR341,0,67
SR349,0,12
SR352,0,4787
SR365,0,2112
SR366,0,967
SR369,0,1318
SR370,0,2901
SR371,0,525
SR3721,0,80
SR373,0,22
SR374,0,2
SR381,0,2019
SR3912,0,53
SR3985,0,162
SR3991,0,16245
SR3995,0,426
SR404,0,4
SR4045,0,15152
SR4046,0,3906
SR4087,0,16748
SR4121,0,2058
SR4354,0,2967
SR4369,0,104
SR469,0,63
SR474,0,188
SR476,0,1113
SR4851,0,103
SR511,0,566
SR513,0,5409
SR5160,0,671
SR519,0,4257
SR521,0,96050
SR55,0,11
SR56,0,31
SR57,0,30
SR574,0,16
SR5764,0,208
SR58,0,61
SR59,0,56
SR590,0,12
SR60,0,609
SR601,0,106
SR6024,0,8
SR6161,0,28878
SR62,0,1042
SR63,0,1284
SR6406,0,16
SR66,0,1968
SR67,0,1330
SR68,0,1453
SR6803,0,171
SR682,0,3
SR69,0,1337
SR71,0,7307
SR723,0,210
SR739,0,180
SR7436,0,2276
SR746,0,181
SR7551,0,815
SR85,0,17574
SR88,0,16
SR91,0,1
SR9310,0,1883
SR9319,0,28
SR9361,0,1596
SR946,0,33
SR96,0,18
SRALJ21,0,53
SRALJN24,0,115
SRALT20,0,11
SRALT4,0,120
SRB10,0,18
SRB102,0,19
SRB104,0,6115
SRB42,0,4
SRB44,0,423
SRB52,0,9
SRB54,0,5621
SRB72,0,168
SRB74,0,13941
SRFRA19,0,1
SRLB10912,0,9
SRLFB52,0,8
SRLFB70,0,10
SRRACW,0,15
SRSCW,0,213
SRSFSJ36,0,52
SRSJB,0,24
SRSLBC,0,24
SRSLH22,0,50
SRSLH52,0,38
SRSLH70,0,65
SRSLLG21,0,21
SRSLSB3B,0,8
SRSLVP33,0,40
SRSLVP411,0,12
SRSLVP910,0,24
SRSRB,0,6
SRSRO,0,17
SRVFTP463087,0,450
SRVFTP552147,0,820
WPP21012,1140,1866