,43302,60136,89139,Tampa F&S,Houston F&S,Baltimore F&S,Great Lakes CC,43302,Atlanta F&S,Fontana,93725,92377,Seattle F&S,99212,Sacramento Main,95776,Linden,Edmonton F&S,Vancouver F&S,V8L 5X4,Toronto F&S,Montreal F&S
43302,0.0,342.731,2035.845,1065.099,1202.324,457.064,336.979,0.0,610.942,2214.096,2380.667,2212.669,2347.978,2056.329,2346.079,2346.079,546.693,1929.674,2465.156,2458.776,391.649,700.609
60136,343.766,0.0,1725.405,1216.951,1088.409,750.36,16.469,343.766,762.795,1934.632,2101.204,1933.206,2008.549,1716.9,2029.97,2029.97,839.989,1590.246,2125.728,2119.348,566.012,900.156
89139,2036.569,1727.011,0.0,2329.769,1467.278,2423.592,1722.935,2036.569,1957.519,217.686,384.257,216.259,1134.366,1058.808,583.747,583.747,2522.024,1476.205,1251.544,1245.165,2264.341,2598.485
Tampa F&S,1065.615,1216.638,2326.323,0.0,968.881,943.968,1207.462,1065.615,466.164,2484.329,2654.76,2480.702,3100.476,2808.826,2854.25,2854.25,1088.768,2809.497,3217.654,3211.275,1348.223,1503.867
Houston F&S,1200.776,1090.081,1469.017,967.871,0.0,1437.114,1079.636,1200.776,782.474,1517.663,1770.748,1514.036,2349.392,2124.35,1966.878,1966.878,1583.182,2209.703,2466.57,2460.19,1534.851,1868.994
Baltimore F&S,454.582,749.123,2423.361,943.971,1436.735,0.0,743.371,454.582,691.608,2601.611,2768.182,2600.185,2754.37,2462.72,2752.472,2752.472,148.148,2336.067,2871.549,2865.168,476.974,563.247
Great Lakes CC,338.314,16.665,1721.087,1205.602,1077.924,744.907,0.0,338.314,751.446,1930.314,2096.886,1928.888,2022.507,1730.858,2025.652,2025.652,834.536,1604.203,2139.685,2133.305,559.33,893.474
43302,0.0,342.731,2035.845,1065.099,1202.324,457.064,336.979,0.0,610.942,2214.096,2380.667,2212.669,2347.978,2056.329,2346.079,2346.079,546.693,1929.674,2465.156,2458.776,391.649,700.609
Atlanta F&S,611.77,762.793,1967.321,465.284,782.612,690.579,753.617,611.77,0.0,2129.187,2295.759,2127.761,2646.63,2354.981,2495.249,2495.249,835.379,2355.652,2763.809,2757.429,955.036,1231.946
Fontana,2212.662,1934.889,217.39,2485.873,1518.199,2599.685,1930.813,2212.662,2118.707,0.0,254.407,5.96,1163.523,1190.021,450.537,450.537,2698.117,1684.084,1308.536,1302.156,2472.219,2806.363
93725,2379.858,2102.086,384.586,2658.154,1769.263,2766.882,2098.009,2379.858,2285.904,253.87,0.0,258.889,915.131,996.202,202.144,202.144,2865.314,1602.149,1060.143,1053.764,2639.416,2973.559
92377,2211.546,1933.774,216.274,2482.227,1514.553,2598.57,1929.697,2211.546,2117.592,5.967,259.521,0.0,1168.637,1188.905,455.65,455.65,2697.002,1682.968,1313.65,1307.27,2471.104,2805.247
Seattle F&S,2348.239,2007.712,1132.682,3097.694,2321.579,2754.832,2021.56,2348.239,2643.538,1163.488,915.252,1168.506,0.0,291.813,727.061,727.061,2844.461,841.703,173.53,167.15,2466.236,2707.221
99212,2056.606,1716.08,1062.799,2806.062,2120.865,2463.2,1729.927,2056.606,2351.905,1196.805,996.672,1195.378,292.178,0.0,808.481,808.481,2552.829,606.127,409.357,402.976,2174.603,2415.59
Sacramento Main,2351.953,2035.639,584.936,2858.504,1966.185,2758.546,2031.563,2351.953,2486.253,450.793,202.557,455.811,727.031,808.103,0.0,0.0,2848.175,1414.05,872.044,865.664,2572.969,2907.113
95776,2351.953,2035.639,584.936,2858.504,1966.185,2758.546,2031.563,2351.953,2486.253,450.793,202.557,455.811,727.031,808.103,0.0,0.0,2848.175,1414.05,872.044,865.664,2572.969,2907.113
Linden,545.003,839.544,2521.135,1090.056,1582.82,148.316,833.792,545.003,837.693,2699.385,2865.957,2697.959,2844.79,2553.141,2842.892,2842.892,0.0,2426.487,2961.969,2955.589,482.987,418.368
Edmonton F&S,1931.913,1591.387,1475.267,2808.078,2199.906,2338.506,1605.234,1931.913,2353.922,1684.495,1602.199,1683.068,849.123,600.041,1414.008,1414.008,2428.135,0.0,722.602,775.498,2049.91,2214.956
Vancouver F&S,2464.562,2124.037,1249.006,3214.019,2437.903,2871.156,2137.884,2464.562,2759.862,1306.922,1058.686,1311.94,174.001,408.137,870.495,870.495,2960.785,717.908,0.0,60.044,2582.56,2823.546
V8L 5X4,2459.196,2118.67,1243.64,3208.652,2432.536,2865.79,2132.517,2459.196,2754.495,1301.555,1053.32,1306.573,168.634,402.77,865.129,865.129,2955.419,772.18,61.039,0.0,2577.193,2818.18
Toronto F&S,392.528,565.733,2263.603,1349.374,1536.634,478.684,559.067,392.528,954.491,2472.83,2639.402,2471.404,2467.06,2175.411,2568.167,2568.167,503.071,2048.756,2584.238,2577.858,0.0,364.21
Montreal F&S,699.113,898.322,2596.191,1505.425,1869.223,563.685,891.656,699.113,1231.476,2805.419,2971.99,2803.993,2707.795,2416.146,2900.756,2900.756,417.305,2213.078,2824.974,2818.594,363.244,0.0